source,target
Marcella Cornia,Lorenzo Baraldi
Marcella Cornia,Rita Cucchiara
Lorenzo Baraldi,Rita Cucchiara
Hidayet Aksu,A. Selcuk Uluagac
Abbas Acar,Hidayet Aksu
Abbas Acar,A. Selcuk Uluagac
Hidayet Aksu,A. Selcuk Uluagac
Nanjing,Nanjing
Nanjing,Nanjing
Nanjing,China)
Nanjing,Nanjing
Nanjing,China)
Nanjing,China)
Yang Song,Yin Cui
Yang Song,Serge Belongie
Yin Cui,Serge Belongie
Ying Cui,Hui Liu
Daniela Micucci,Leonardo Mariani
Bogdan Georgescu,Sasa Grbic
Zhaohui Yang,Cunhua Pan
Zhaohui Yang,Wei Xu
Cunhua Pan,Wei Xu
Hao Tang,Kevin Gimpel
Hao Tang,Karen Livescu
Kevin Gimpel,Karen Livescu
Nicu Sebe,Bruno Lepri
Leonardo Mariani,Daniela Micucci
Nils Jansen,"Ufuk
  Topcu"
Ying Cui,Zhi Liu
Cunlai Pu,Wei Cui
Cunlai Pu,Jian Yang
Wei Cui,Jian Yang
Zheyan Shen,Peng Cui
Zheyan Shen,Bo Li
Peng Cui,Bo Li
Serge Belongie,Shijian Lu
Enver Sangineto,Nicu Sebe
Giuseppe Siracusano,Stefano Salsano
Pierre-Luc Bacon,Doina Precup
Ying Cui,Hui Liu
"Doina
  Precup",David Meger
Pierre-Luc Bacon,David Meger
Pierre-Luc Bacon,Doina Precup
David Meger,Doina Precup
Cuiling Lan,Wenjun Zeng
Yiming Cui,Ting Liu
Yong Cui,Xin Wang
Nan Ding,Radu Soricut
Cunhua Pan,Zhaohui Yang
Peng Cui,Wenwu Zhu
Xiaodong Cui,George Saon
Michele Alberti,Vinaychandran Pondenkandath
Michele Alberti,Marcus Liwicki
Vinaychandran Pondenkandath,Marcus Liwicki
Cunhua Pan,Maged Elkashlan
Kevin Gimpel,Karen Livescu
Alexis Decurninge,Maxime Guillaud
USA,Germany
USA,China)
Germany,China)
Curtis Hawthorne,Adam Roberts
Curtis Hawthorne,Ian Simon
Curtis Hawthorne,Jesse Engel
Adam Roberts,Ian Simon
Adam Roberts,Jesse Engel
Ian Simon,Jesse Engel
Karen Simonyan,Oriol Vinyals
Oriol Vinyals,Koray Kavukcuoglu
Ekin D. Cubuk,Barret Zoph
Pierre-Luc Bacon,Doina Precup
Qimei Cui,Xiaofeng Tao
Qimei Cui,Ping Zhang
Xiaofeng Tao,Ping Zhang
Youssef Mroueh,Tom Sercu
Shu Wu,Liang Wang
Zhen Cui,Chunyan Xu
Xiaodong Cun,Chi-Man Pun
Trevor Darrell,Marcus Rohrbach
Peng Cui,Xiao Wang
Peng Cui,Wenwu Zhu
Xiao Wang,Wenwu Zhu
Oriol Vinyals,Karen Simonyan
Oriol Vinyals,Koray Kavukcuoglu
Karen Simonyan,Koray Kavukcuoglu
Peng Cui,Xiao Wang
Peng Cui,Fei Wang
Peng Cui,Wenwu Zhu
Xiao Wang,Fei Wang
Xiao Wang,Wenwu Zhu
Fei Wang,Wenwu Zhu
Serge Belongie,Mihai Datcu
Karen Simonyan,Koray Kavukcuoglu
Karen Simonyan,Demis Hassabis
Koray Kavukcuoglu,Demis Hassabis
Zhaohui Yang,Wei Xu
Zhaohui Yang,Cunhua Pan
Wei Xu,Cunhua Pan
Michele Alberti,Marcus Liwicki
Michele Alberti,Marcus Liwicki
Diana Marculescu,Radu Marculescu
Tom Sercu,Youssef Mroueh
Simone Calderara,"Rita
  Cucchiara"
Santiago Pascual,Joan Serr\`a
Hong Chen,Cuiping Li
Aliaksandr Siarohin,Enver Sangineto
Aliaksandr Siarohin,Nicu Sebe
Enver Sangineto,Nicu Sebe
Yuhao Zhang,Qimei Cui
Yuhao Zhang,Qimei Cui
Yuhao Zhang,Qimei Cui
Yuhao Zhang,Qimei Cui
Qimei Cui,Yuhao Zhang
Yuhao Zhang,Qimei Cui
Zhiyong Cui,Ziyuan Pu
Radu Tudor Ionescu,Marius Popescu
Karen Simonyan,Koray Kavukcuoglu
Qimei Cui,Ping Zhang
Wei Wang,Dan Xu
Ruizhou Ding,Diana Marculescu
Zhiyong Cui,Ziyuan Pu
Trevor Darrell,Marcus Rohrbach
Hidayet Aksu,A. Selcuk Uluagac
Karen Simonyan,Koray Kavukcuoglu
Nils Jansen,Ufuk Topcu
Zhen Cui,Chunyan Xu
Zhen Cui,Jian Yang
Chunyan Xu,Jian Yang
Abbas Acar,Hidayet Aksu
Abbas Acar,A. Selcuk Uluagac
Hidayet Aksu,A. Selcuk Uluagac
Dan Xu,Elisa Ricci
Dan Xu,Nicu Sebe
Elisa Ricci,Nicu Sebe
Dan Xu,Elisa Ricci
Dan Xu,Nicu Sebe
Elisa Ricci,Nicu Sebe
Murat Cubuktepe,Nils Jansen
Murat Cubuktepe,Ufuk Topcu
Nils Jansen,Ufuk Topcu
Antoine Cully,Risto Miikkulainen
Sasa Grbic,Bogdan Georgescu
Adam Roberts,Jesse Engel
Adam Roberts,Curtis Hawthorne
Jesse Engel,Curtis Hawthorne
Yiming Cui,Shijin Wang
Simone Calderara,Rita Cucchiara
David Acuna,Sanja Fidler
Cunhua Pan,Maged Elkashlan
Nanjing,Nanjing
Nanjing,Nanjing
Nanjing,China)
Nanjing,Nanjing
Nanjing,China)
Nanjing,China)
CNRS,France)
CNRS,CNRS
CNRS,France)
France),CNRS
France),France)
CNRS,France)
Koray Kavukcuoglu,Demis Hassabis
Qimei Cui,Xiaofeng Tao
Qimei Cui,Ping Zhang
Xiaofeng Tao,Ping Zhang
Dan Xu,Wei Wang
Dan Xu,Hao Tang
Dan Xu,Nicu Sebe
Dan Xu,Elisa Ricci
Wei Wang,Hao Tang
Wei Wang,Nicu Sebe
Wei Wang,Elisa Ricci
Hao Tang,Nicu Sebe
Hao Tang,Elisa Ricci
Nicu Sebe,Elisa Ricci
Yuhao Zhang,Qimei Cui
Yuhao Zhang,Ping Zhang
Qimei Cui,Ping Zhang
Karen Simonyan,Koray Kavukcuoglu
Curtis Bright,Vijay Ganesh
Bo Wu,and Ufuk Topcu
Nan Ding,Radu Soricut
Hidayet Aksu,A. Selcuk Uluagac
Bogdan Georgescu,Sasa Grbic
Wei Xu,Cunhua Pan
Chunyan Xu,Zhen Cui
Chunyan Xu,Tong Zhang
Zhen Cui,Tong Zhang
Cuiling Lan,Wenjun Zeng
Cunhua Pan,Wei Xu
Mariana-Iuliana Georgescu,Radu Tudor Ionescu
Mariana-Iuliana Georgescu,Marius Popescu
Radu Tudor Ionescu,Marius Popescu
Youssef Mroueh,USA)
Michele Alberti,Vinaychandran Pondenkandath
Michele Alberti,Marcus Liwicki
Vinaychandran Pondenkandath,Marcus Liwicki
Tom Everitt,Marcus Hutter
Bogdan Georgescu,Dorin Comaniciu
Joan Serr\`a,Santiago Pascual
Dan Xu,Nicu Sebe
Adrian V. Dalca,Mert R. Sabuncu
Curtis Bright,Vijay Ganesh
Jie Xu,Rui Zhang
Jie Xu,and Shuguang Cui
Rui Zhang,and Shuguang Cui
Beijing,Beijing
Beijing,Beijing
Beijing,China)
Beijing,Beijing
Beijing,China)
Beijing,China)
Ekin D. Cubuk,Barret Zoph
Youssef Mroueh,Tom Sercu
Ian Simon,Adam Roberts
Ian Simon,Jesse Engel
Ian Simon,Curtis Hawthorne
Adam Roberts,Jesse Engel
Adam Roberts,Curtis Hawthorne
Jesse Engel,Curtis Hawthorne
Aliaksandr Siarohin,Enver Sangineto
Aliaksandr Siarohin,Nicu Sebe
Enver Sangineto,Nicu Sebe
Simon Graham,Hao Chen
Simon Graham,Nasir Rajpoot
Hao Chen,Nasir Rajpoot
Zhaohui Yang,Cunhua Pan
Zhaohui Yang,Wei Xu
Cunhua Pan,Wei Xu
Zhaohui Yang,Cunhua Pan
Zhaohui Yang,Wei Xu
Zhaohui Yang,Maged Elkashlan
Cunhua Pan,Wei Xu
Cunhua Pan,Maged Elkashlan
Wei Xu,Maged Elkashlan
Yuankai Huo,Bennett A. Landman
Qiang Cheng,Xiang Li
Qiang Cheng,Shi Jin
Xiang Li,Shi Jin
Yin Cui,Yang Song
Yin Cui,Serge Belongie
Yang Song,Serge Belongie
Peng Cui,Bo Li
Yin Cui,Serge Belongie
Sebastian Curi,Andreas Krause
Alexis Decurninge,Maxime Guillaud
Tehran,Tehran
Demis Hassabis,Koray Kavukcuoglu
Simone Calderara,Rita Cucchiara
Rui Fan,Ming Liu
Chunyan Xu,Zhen Cui
Chunyan Xu,Tong Zhang
Chunyan Xu,Jian Yang
Zhen Cui,Tong Zhang
Zhen Cui,Jian Yang
Tong Zhang,Jian Yang
Murat Cubuktepe,"Ufuk
  Topcu"
Murat Cubuktepe,Nils Jansen
Murat Cubuktepe,and Ufuk Topcu
Nils Jansen,and Ufuk Topcu
Cuiling Lan,Wenjun Zeng
Hui Liu,Tao Cui
Nils Jansen,Ufuk Topcu
Spain),Spain)
Qimei Cui,Xiaofeng Tao
Qimei Cui,Yang Yang
Xiaofeng Tao,Qimei Cui
Simon Graham,Nasir Rajpoot
Xiaoguang Han,Shuguang Cui
Dan Xu,Elisa Ricci
Dan Xu,Nicu Sebe
Elisa Ricci,Nicu Sebe
Simon Graham,Nasir Rajpoot
Nasir Rajpoot,Mubarak Shah
Abbas Acar,Hidayet Aksu
Tao Cui,Hui Liu
Hao Tang,Wei Wang
Hao Tang,Dan Xu
Hao Tang,Yan Yan
Hao Tang,Nicu Sebe
Wei Wang,Dan Xu
Wei Wang,Yan Yan
Wei Wang,Nicu Sebe
Dan Xu,Yan Yan
Dan Xu,Nicu Sebe
Yan Yan,Nicu Sebe
Wei Xu,Ying Cui
Wei Xu,Zhi Liu
Ying Cui,Zhi Liu
Adrian V. Dalca,Mert R. Sabuncu
Michele Alberti,Vinaychandran Pondenkandath
Michele Alberti,Marcus Liwicki
Vinaychandran Pondenkandath,Marcus Liwicki
Ming Liu,Rui Fan
Santiago Pascual,Joan Serr\`a
Santiago Pascual,Joan Serr\`a
Abbas Acar,A. Selcuk Uluagac
Lu Bai,Lixin Cui
Cunhua Pan,Wei Xu
Lixin Cui,Lu Bai
Lixin Cui,Yue Wang
Lixin Cui,Edwin R. Hancock
Lu Bai,Yue Wang
Lu Bai,Edwin R. Hancock
Yue Wang,Edwin R. Hancock
Daniel Cullina,H. Vincent Poor
Cuiyun Gao,Michael R. Lyu
Cuiling Lan,Wenjun Zeng
Hao Tang,Wei Wang
Hao Tang,Dan Xu
Hao Tang,Yan Yan
Hao Tang,Nicu Sebe
Wei Wang,Dan Xu
Wei Wang,Yan Yan
Wei Wang,Nicu Sebe
Dan Xu,Yan Yan
Dan Xu,Nicu Sebe
Yan Yan,Nicu Sebe
Yue Wang,Philip S. Yu
Lei Cui,Furu Wei
Lei Cui,Ting Liu
Furu Wei,Ting Liu
Ian Simon,Curtis Hawthorne
Furu Wei,Lei Cui
Yoshua Bengio,Doina Precup
Yuhao Zhang,Curtis P. Langlotz
Lei Cui,Furu Wei
Lei Cui,Furu Wei
Zhaopeng Cui,Marc Pollefeys
Zhen Cui,Chunyan Xu
Zhiyuan Liu,Maosong Sun
Ying Cui,Zhi Liu
Ying Cui,Zhi Liu
Murat Cubuktepe,Nils Jansen
Murat Cubuktepe,Ufuk Topcu
Nils Jansen,Ufuk Topcu
Bo Wu,and Ufuk Topcu
Bo Wu,and Ufuk Topcu
Daniela Micucci,Leonardo Mariani
Zhiyuan Liu,Maosong Sun
Xiaodong Cui,Wei Zhang
Yiming Cui,Ting Liu
Yiming Cui,Wanxiang Che
Yiming Cui,Shijin Wang
Yiming Cui,Guoping Hu
Ting Liu,Wanxiang Che
Ting Liu,Shijin Wang
Ting Liu,Guoping Hu
Wanxiang Che,Shijin Wang
Wanxiang Che,Guoping Hu
Shijin Wang,Guoping Hu
Vinaychandran Pondenkandath,Michele Alberti
Rui Fan,Ming Liu
Curtis Hawthorne,Adam Roberts
Curtis Hawthorne,Ian Simon
Curtis Hawthorne,Jesse Engel
Adam Roberts,Ian Simon
Adam Roberts,Jesse Engel
Ian Simon,Jesse Engel
Simon Graham,Nasir Rajpoot
Vinaychandran Pondenkandath,Michele Alberti
Vinaychandran Pondenkandath,Marcus Liwicki
Michele Alberti,Marcus Liwicki
Wei Chen,Chang Liu
Wei Chen,Dinggang Shen
Wei Chen,Lei Zhang
Wei Chen,Bjoern Menze
Chang Liu,Dinggang Shen
Chang Liu,Lei Zhang
Chang Liu,Bjoern Menze
Dinggang Shen,Lei Zhang
Dinggang Shen,Bjoern Menze
Lei Zhang,Bjoern Menze
Zhiyuan Liu,Maosong Sun
Zhen Cui,Chunyan Xu
Zhen Cui,Jian Yang
Chunyan Xu,Jian Yang
Curtis Bright,Vijay Ganesh
Pierre-Luc Bacon,"Doina
  Precup"
Cunsheng Ding,Chunming Tang
MD,USA)
Yiming Cui,Shijin Wang
Yiming Cui,Guoping Hu
Shijin Wang,Guoping Hu
Marcella Cornia,Lorenzo Baraldi
Marcella Cornia,Rita Cucchiara
Lorenzo Baraldi,Rita Cucchiara
Marcella Cornia,Lorenzo Baraldi
Marcella Cornia,Rita Cucchiara
Lorenzo Baraldi,Rita Cucchiara
Nanjing,Nanjing
Nanjing,China)
Nanjing,China)
Zhaopeng Cui,Yinda Zhang
Zhaopeng Cui,Marc Pollefeys
Yinda Zhang,Marc Pollefeys
Aliaksandr Siarohin,Nicu Sebe
Aliaksandr Siarohin,Elisa Ricci
Nicu Sebe,Elisa Ricci
Sasa Grbic,Bogdan Georgescu
Sasa Grbic,Dorin Comaniciu
Bogdan Georgescu,Dorin Comaniciu
Kartikeya Bhardwaj,Radu Marculescu
David Meger,Doina Precup
Radu Tudor Ionescu,Fahad Shahbaz Khan
Radu Tudor Ionescu,Mariana-Iuliana Georgescu
Fahad Shahbaz Khan,Mariana-Iuliana Georgescu
Hidayet Aksu,A. Selcuk Uluagac
Marcus Rohrbach,Trevor Darrell
Simon Graham,Shan E Ahmed Raza
Tong Zhang,Zhen Cui
Ganqu Cui,Maosong Sun
Zhizheng Zhang,Cuiling Lan
Zhizheng Zhang,Wenjun Zeng
Zhizheng Zhang,Zhibo Chen
Cuiling Lan,Wenjun Zeng
Cuiling Lan,Zhibo Chen
Wenjun Zeng,Zhibo Chen
Sasa Grbic,Bogdan Georgescu
Cunjun Yu,Quang-Cuong Pham
Xin Wang,Wenwu Zhu
Han Yu,Chunyan Miao
Han Yu,Lizhen Cui
Chunyan Miao,Lizhen Cui
USA),USA)
Ying Cui,Zhi Liu
Hao Chen,Bogdan Georgescu
Hao Chen,Bjoern Menze
Bogdan Georgescu,Bjoern Menze
Hao Tang,Dan Xu
Hao Tang,Wei Wang
Hao Tang,Yan Yan
Hao Tang,Nicu Sebe
Dan Xu,Wei Wang
Dan Xu,Yan Yan
Dan Xu,Nicu Sebe
Wei Wang,Yan Yan
Wei Wang,Nicu Sebe
Yan Yan,Nicu Sebe
Hao Tang,Nicu Sebe
Yin Cui,Tsung-Yi Lin
Yin Cui,Yang Song
Yin Cui,Serge Belongie
Tsung-Yi Lin,Yang Song
Tsung-Yi Lin,Serge Belongie
Yang Song,Serge Belongie
Xiaoguang Han,Shuguang Cui
Ruizhou Ding,Diana Marculescu
Simone Calderara,Rita Cucchiara
Kartikeya Bhardwaj,Radu Marculescu
Chunming Tang,Cunsheng Ding
UK,London
Hao Tang,Wei Wang
Hao Tang,Dan Xu
Hao Tang,Nicu Sebe
Wei Wang,Dan Xu
Wei Wang,Nicu Sebe
Dan Xu,Nicu Sebe
Jun Wang,Ying Cui
Ruizhou Ding,Diana Marculescu
Simone Calderara,Rita Cucchiara
Youssef Mroueh,Tom Sercu
Wei Zhang,Francisco Villaescusa-Navarro
Zeyu Cui,Shu Wu
Zeyu Cui,Liang Wang
Shu Wu,Liang Wang
Wanyun Cui,Wei Wang
Lu Bai,Lixin Cui
Lu Bai,Shu Wu
Lu Bai,Edwin R. Hancock
Lixin Cui,Shu Wu
Lixin Cui,Edwin R. Hancock
Shu Wu,Edwin R. Hancock
Lu Bai,Lixin Cui
Lu Bai,Yue Wang
Lu Bai,Philip S. Yu
Lu Bai,Edwin R. Hancock
Lixin Cui,Yue Wang
Lixin Cui,Philip S. Yu
Lixin Cui,Edwin R. Hancock
Yue Wang,Philip S. Yu
Yue Wang,Edwin R. Hancock
Philip S. Yu,Edwin R. Hancock
Alexis Decurninge,Maxime Guillaud
Karen Simonyan,Koray Kavukcuoglu
Marcella Cornia,Lorenzo Baraldi
Marcella Cornia,"Rita
  Cucchiara"
Lorenzo Baraldi,"Rita
  Cucchiara"
Lei Cui,Furu Wei
Adrian V. Dalca,Mert R. Sabuncu
Aliaksandr Siarohin,Enver Sangineto
Aliaksandr Siarohin,Nicu Sebe
Aliaksandr Siarohin,Elisa Ricci
Enver Sangineto,Nicu Sebe
Enver Sangineto,Elisa Ricci
Nicu Sebe,Elisa Ricci
Rajkumar Saini,Marcus Liwicki
Adrian V. Dalca,Mert R. Sabuncu
Adrian V. Dalca,Mert R. Sabuncu
Xiaoguang Han,Shuguang Cui
Nicu Sebe,Elisa Ricci
Cunjun Yu,Quang-Cuong Pham
"Doina
  Precup",David Meger
Xiao Wang,Peng Cui
Cuiyun Gao,Michael R. Lyu
Yong Liu,Chunyan Miao
Yong Liu,Lizhen Cui
Chunyan Miao,Lizhen Cui
Nils Jansen,Ufuk Topcu
Zhe Xu,Ufuk Topcu
Yuankai Huo,Bennett A. Landman
Hao Tang,Dan Xu
Hao Tang,Nicu Sebe
Hao Tang,Yan Yan
Dan Xu,Nicu Sebe
Dan Xu,Yan Yan
